DateTime,Currency,Impact,Event,,,
5/19/2010 19:30,USD,High Impact Expected,Philly Fed Manufacturing Index,,,
5/20/2010 6:00,EUR,Medium Impact Expected,German PPI m/m,,,
5/21/2010 23:00,USD,Low Impact Expected,FOMC Member Dudley Speaks,,,
5/23/2010 18:00,USD,Medium Impact Expected,FOMC Member Pianalto Speaks,,,
5/25/2010 15:15,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
5/25/2010 19:30,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
5/27/2010 6:40,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
5/27/2010 9:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
5/27/2010 19:29,EUR,Medium Impact Expected,German Prelim CPI m/m,,,
5/27/2010 19:30,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
5/30/2010 19:30,EUR,High Impact Expected,ECB President Trichet Speaks,,,
5/30/2010 19:30,EUR,Low Impact Expected,Italian Prelim CPI m/m,,,
5/31/2010 0:25,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
5/31/2010 8:00,EUR,High Impact Expected,ECB President Trichet Speaks,,,
5/31/2010 9:00,EUR,Medium Impact Expected,CPI Flash Estimate y/y,,,
5/31/2010 10:00,EUR,Low Impact Expected,ECB Financial Stability Review,,,
6/1/2010 5:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
6/2/2010 9:00,EUR,Low Impact Expected,PPI m/m,,,
6/2/2010 14:00,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
6/3/2010 15:15,USD,Medium Impact Expected,Fed Chairman Bernanke Speaks,,,
6/3/2010 16:15,USD,Medium Impact Expected,FOMC Member Rosengren Speaks,,,
6/3/2010 17:15,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
6/5/2010 8:30,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
6/7/2010 23:55,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
6/8/2010 12:25,USD,Low Impact Expected,FOMC Member Duke Speaks,,,
6/8/2010 23:00,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
6/9/2010 14:00,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
6/9/2010 19:30,EUR,High Impact Expected,ECB Press Conference,,,
6/9/2010 20:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
6/10/2010 6:00,EUR,Low Impact Expected,German Final CPI m/m,,,
6/11/2010 6:45,EUR,Low Impact Expected,French Final CPI m/m,,,
